Unnamed: 0,year,month,day,hour,PM2.5,temperature,pressure,rain,wind_direction,wind_speed
2,2013,3.0,1.0,2.0,7.0,-1.1,1023.5,0.0,NNW,5.6
3,2013,3.0,1.0,3.0,6.0,-1.4,1024.5,0.0,NW,3.1
4,2013,3.0,1.0,4.0,3.0,-2.0,1025.2,0.0,N,2.0
6,2013,3.0,1.0,6.0,3.0,-2.6,1026.5,0.0,NNE,2.5
7,2013,3.0,1.0,7.0,3.0,-1.6,1027.4,0.0,NNW,3.8
8,2013,3.0,1.0,8.0,3.0,0.1,1028.3,0.0,NNW,4.1
9,2013,3.0,1.0,9.0,3.0,1.2,1028.5,0.0,N,2.6
10,2013,3.0,1.0,10.0,3.0,1.9,1028.2,0.0,NNW,3.6
12,2013,3.0,1.0,12.0,3.0,3.9,1027.3,0.0,NNW,5.1
13,2013,3.0,1.0,13.0,3.0,5.3,1026.2,0.0,NW,4.3
14,2013,3.0,1.0,14.0,6.0,6.0,1025.9,0.0,NW,4.4
15,2013,3.0,1.0,15.0,8.0,6.2,1025.7,0.0,NNE,2.8
16,2013,3.0,1.0,16.0,9.0,5.9,1025.6,0.0,NNW,3.9
17,2013,3.0,1.0,17.0,10.0,4.3,1026.3,0.0,NNE,2.8
18,2013,3.0,1.0,18.0,11.0,3.1,1027.4,0.0,NNE,2.1
20,2013,3.0,1.0,20.0,11.0,1.7,1029.1,0.0,N,2.1
21,2013,3.0,1.0,21.0,12.0,0.6,1030.1,0.0,ENE,0.8
23,2013,3.0,1.0,23.0,24.0,-0.2,1030.5,0.0,ENE,1.4
24,2013,3.0,2.0,0.0,22.0,-0.4,1031,0.0,ENE,1.4
25,2013,3.0,2.0,1.0,14.0,-1.0,1031.3,0.0,NNE,1.1
26,2013,3.0,2.0,2.0,13.0,-1.5,1030.9,0.0,E,1.7
27,2013,3.0,2.0,3.0,3.0,-1.4,1030.6,0.0,NNE,1.4
28,2013,3.0,2.0,4.0,3.0,-1.5,1030.8,0.0,NNW,0.9
29,2013,3.0,2.0,5.0,9.0,-1.8,1030.1,0.0,NNE,2.0
30,2013,3.0,2.0,6.0,4.0,-2.5,1029.6,0.0,NW,0.7
31,2013,3.0,2.0,7.0,3.0,-1.7,1029.8,0.0,NE,1.2
32,2013,3.0,2.0,8.0,3.0,-0.4,1029.6,0.0,NE,1.8
33,2013,3.0,2.0,9.0,10.0,0.6,1029.7,0.0,NE,1.7
34,2013,3.0,2.0,10.0,11.0,1.7,1028.9,0.0,W,1.6
35,2013,3.0,2.0,11.0,18.0,2.2,1028.2,0.0,SSW,3.1
36,2013,3.0,2.0,12.0,26.0,2.7,1027.3,0.0,WSW,2.7
37,2013,3.0,2.0,13.0,25.0,3.3,1025.7,0.0,W,1.5
38,2013,3.0,2.0,14.0,26.0,3.8,1024.8,0.0,SE,1.3
39,2013,3.0,2.0,15.0,37.0,3.9,1024.1,0.0,WNW,1.2
40,2013,3.0,2.0,16.0,37.0,3.5,1023.6,0.0,WSW,2.5
41,2013,3.0,2.0,17.0,44.0,2.2,1023.4,0.0,SSE,0.4
42,2013,3.0,2.0,18.0,54.0,1.2,1023.2,0.0,W,0.9
43,2013,3.0,2.0,19.0,61.0,1.5,1022.9,0.0,NE,1.2
44,2013,3.0,2.0,20.0,67.0,1.2,1022.9,0.0,NNE,1.2
45,2013,3.0,2.0,21.0,74.0,0.6,1022.6,0.0,NE,1.3
46,2013,3.0,2.0,22.0,81.0,-0.6,1022.3,0.0,NNE,1.4
47,2013,3.0,2.0,23.0,93.0,-0.8,1021.1,0.0,N,1.3
48,2013,3.0,3.0,0.0,112.0,-1.4,1020.4,0.0,NNE,1.2
49,2013,3.0,3.0,1.0,109.0,-2.0,1019.4,0.0,NE,1.2
50,2013,3.0,3.0,2.0,110.0,-2.8,1018.3,0.0,NE,1.4
51,2013,3.0,3.0,3.0,105.0,-2.6,1017.2,0.0,NE,1.2
52,2013,3.0,3.0,4.0,106.0,-4.3,1016.9,0.0,NNE,0.9
53,2013,3.0,3.0,5.0,101.0,-5.6,1016.3,0.0,N,0.8
54,2013,3.0,3.0,6.0,91.0,-5.8,1016.2,0.0,NNE,0.8
55,2013,3.0,3.0,7.0,79.0,-3.1,1016.5,0.0,NE,1.5
56,2013,3.0,3.0,8.0,77.0,0.7,1016.2,0.0,NNE,2.3
57,2013,3.0,3.0,9.0,83.0,3.5,1015.8,0.0,NNE,0.4
58,2013,3.0,3.0,10.0,94.0,6.5,1014.9,0.0,N,1.3
59,2013,3.0,3.0,11.0,96.0,11.4,1013.8,0.0,ESE,0.9
60,2013,3.0,3.0,12.0,91.0,13.8,1012.5,0.0,W,1.1
61,2013,3.0,3.0,13.0,98.0,16.0,1011.5,0.0,W,5.9
62,2013,3.0,3.0,14.0,72.0,16.7,1010.8,0.0,WNW,4.3
63,2013,3.0,3.0,15.0,48.0,16.9,1010.5,0.0,WNW,2.0
64,2013,3.0,3.0,16.0,28.0,16.4,1010.6,0.0,NW,2.9
65,2013,3.0,3.0,17.0,26.0,13.1,1011.1,0.0,WSW,1.7
66,2013,3.0,3.0,18.0,24.0,8.7,1012.3,0.0,NW,1.6
67,2013,3.0,3.0,19.0,19.0,12.2,1013.4,0.0,NNW,2.0
68,2013,3.0,3.0,20.0,60.0,11.7,1013.5,0.0,N,0.9
69,2013,3.0,3.0,21.0,117.0,5.3,1013.6,0.0,N,0.0
70,2013,3.0,3.0,22.0,54.0,3.1,1014.1,0.0,NNE,1.8
71,2013,3.0,3.0,23.0,46.0,5.2,1014.8,0.0,NNW,1.7
72,2013,3.0,4.0,0.0,42.0,7.7,1015.7,0.0,N,2.6
73,2013,3.0,4.0,1.0,49.0,8.2,1016.7,0.0,N,2.8
74,2013,3.0,4.0,2.0,34.0,8.1,1016.7,0.0,N,4.3
75,2013,3.0,4.0,3.0,12.0,7.2,1016.9,0.0,N,2.8
76,2013,3.0,4.0,4.0,7.0,6.0,1018,0.0,NNW,1.0
77,2013,3.0,4.0,5.0,10.0,2.7,1018.6,0.0,SSE,0.5
78,2013,3.0,4.0,6.0,13.0,3.8,1018.9,0.0,N,2.3
79,2013,3.0,4.0,7.0,14.0,6.5,1019.7,0.0,N,2.3
80,2013,3.0,4.0,8.0,13.0,9.0,1020.7,0.0,NE,3.1
81,2013,3.0,4.0,9.0,15.0,10.6,1020.8,0.0,NNE,1.3
82,2013,3.0,4.0,10.0,16.0,11.9,1020.4,0.0,NE,2.1
83,2013,3.0,4.0,11.0,18.0,13.1,1020,0.0,NE,3.0
84,2013,3.0,4.0,12.0,13.0,14.2,1018.9,0.0,N,2.7
85,2013,3.0,4.0,13.0,3.0,15.3,1017.8,0.0,S,2.0
86,2013,3.0,4.0,14.0,3.0,15.2,1017,0.0,SW,0.7
87,2013,3.0,4.0,15.0,10.0,15.3,1016.3,0.0,SSW,2.4
88,2013,3.0,4.0,16.0,14.0,14.5,1015.7,0.0,S,2.6
89,2013,3.0,4.0,17.0,20.0,12.7,1015.9,0.0,SW,2.6
90,2013,3.0,4.0,18.0,25.0,11.6,1016.5,0.0,SSW,3.4
91,2013,3.0,4.0,19.0,31.0,10.9,1016.6,0.0,SW,3.5
92,2013,3.0,4.0,20.0,34.0,9.9,1016.9,0.0,SSW,3.1
93,2013,3.0,4.0,21.0,40.0,8.4,1016.9,0.0,SSW,2.1
94,2013,3.0,4.0,22.0,51.0,8.6,1016.3,0.0,SSW,2.4
95,2013,3.0,4.0,23.0,58.0,7.7,1015.7,0.0,SW,2.1
96,2013,3.0,5.0,0.0,71.0,4.7,1015.2,0.0,SW,1.6
97,2013,3.0,5.0,1.0,91.0,1.1,1014.7,0.0,SW,0.0
98,2013,3.0,5.0,2.0,100.0,-0.6,1014.4,0.0,S,0.0
99,2013,3.0,5.0,3.0,103.0,0.2,1014,0.0,NE,1.2
100,2013,3.0,5.0,4.0,115.0,1.8,1013.7,0.0,NE,1.5
101,2013,3.0,5.0,5.0,117.0,0.6,1013.9,0.0,N,0.8
102,2013,3.0,5.0,6.0,104.0,-0.2,1013.4,0.0,NE,1.3
103,2013,3.0,5.0,7.0,106.0,2.9,1013.4,0.0,NNE,1.3
104,2013,3.0,5.0,8.0,111.0,5.1,1013.4,0.0,NNE,1.2
105,2013,3.0,5.0,9.0,114.0,7.7,1012.8,0.0,NNE,1.5
106,2013,3.0,5.0,10.0,131.0,9.4,1012,0.0,NE,1.5
107,2013,3.0,5.0,11.0,138.0,10.6,1011.1,0.0,NNE,1.4
108,2013,3.0,5.0,12.0,142.0,11.9,1009.7,0.0,NNW,1.3
109,2013,3.0,5.0,13.0,163.0,12.6,1008.5,0.0,N,1.0
110,2013,3.0,5.0,14.0,168.0,13.5,1007.7,0.0,NNE,1.4
111,2013,3.0,5.0,15.0,165.0,13.8,1007.2,0.0,NE,1.2
112,2013,3.0,5.0,16.0,166.0,13.2,1007.1,0.0,NE,2.0
113,2013,3.0,5.0,17.0,190.0,12.1,1007.7,0.0,NNE,1.6
114,2013,3.0,5.0,18.0,203.0,9.0,1008.2,0.0,NE,1.4
115,2013,3.0,5.0,19.0,210.0,5.3,1008.5,0.0,ESE,0.0
116,2013,3.0,5.0,20.0,205.0,3.3,1008.7,0.0,N,0.2
117,2013,3.0,5.0,21.0,215.0,2.9,1009,0.0,NNE,1.2
118,2013,3.0,5.0,22.0,219.0,5.2,1008.9,0.0,NE,1.1
119,2013,3.0,5.0,23.0,226.0,4.9,1008.4,0.0,NE,1.4
120,2013,3.0,6.0,0.0,284.0,4.9,1008.5,0.0,NE,1.2
121,2013,3.0,6.0,1.0,272.0,4.8,1008.3,0.0,NE,1.5
122,2013,3.0,6.0,2.0,242.0,4.1,1007.8,0.0,NE,1.9
123,2013,3.0,6.0,3.0,212.0,4.0,1007.6,0.0,NE,1.9
124,2013,3.0,6.0,4.0,192.0,3.9,1007.3,0.0,NE,1.4
125,2013,3.0,6.0,5.0,188.0,4.1,1007.8,0.0,NE,1.6
126,2013,3.0,6.0,6.0,186.0,4.5,1008.4,0.0,NE,2.0
127,2013,3.0,6.0,7.0,188.0,5.7,1009.3,0.0,NE,1.7
128,2013,3.0,6.0,8.0,194.0,6.6,1009.3,0.0,NE,1.7
129,2013,3.0,6.0,9.0,184.0,7.5,1009.1,0.0,NE,1.7
130,2013,3.0,6.0,10.0,175.0,8.7,1008.6,0.0,NE,1.5
131,2013,3.0,6.0,11.0,179.0,10.1,1007.7,0.0,NE,1.4
132,2013,3.0,6.0,12.0,192.0,11.1,1006.9,0.0,ENE,0.4
133,2013,3.0,6.0,13.0,201.0,12.6,1005.8,0.0,WSW,1.5
134,2013,3.0,6.0,14.0,230.0,14.5,1005.5,0.0,SSE,1.6
135,2013,3.0,6.0,15.0,246.0,14.7,1005.5,0.0,SSW,2.5
136,2013,3.0,6.0,16.0,248.0,14.2,1005.5,0.0,S,1.4
137,2013,3.0,6.0,17.0,230.0,11.6,1005.9,0.0,SSW,1.1
138,2013,3.0,6.0,18.0,239.0,6.8,1006.8,0.0,WSW,0.9
139,2013,3.0,6.0,19.0,242.0,5.1,1007.6,0.0,WSW,1.2
140,2013,3.0,6.0,20.0,254.0,4.4,1008.2,0.0,SSW,1.1
141,2013,3.0,6.0,21.0,266.0,3.8,1007.7,0.0,WSW,1.9
142,2013,3.0,6.0,22.0,254.0,2.4,1007.3,0.0,WSW,1.2
143,2013,3.0,6.0,23.0,260.0,2.3,1007.2,0.0,NNE,1.3
144,2013,3.0,7.0,0.0,250.0,1.5,1007.1,0.0,NNE,0.8
145,2013,3.0,7.0,1.0,240.0,0.7,1007.1,0.0,SE,1.2
146,2013,3.0,7.0,2.0,238.0,1.5,1006.9,0.0,NNE,0.6
147,2013,3.0,7.0,3.0,243.0,0.3,1006.5,0.0,WNW,1.7
148,2013,3.0,7.0,4.0,246.0,-0.9,1006.4,0.0,N,0.5
149,2013,3.0,7.0,5.0,275.0,1.6,1006.7,0.0,NNE,1.7
150,2013,3.0,7.0,6.0,306.0,0.3,1006.6,0.0,SW,0.4
151,2013,3.0,7.0,7.0,320.0,2.4,1006.8,0.0,NNE,1.5
152,2013,3.0,7.0,8.0,292.0,8.3,1006.5,0.0,NNE,0.8
153,2013,3.0,7.0,9.0,251.0,10.1,1006.1,0.0,W,0.6
154,2013,3.0,7.0,10.0,228.0,12.7,1005.5,0.0,ENE,1.2
155,2013,3.0,7.0,11.0,217.0,16.5,1003.6,0.0,WSW,1.7
156,2013,3.0,7.0,12.0,255.0,17.1,1001.6,0.0,SSW,3.7
157,2013,3.0,7.0,13.0,258.0,17.7,1000.2,0.0,SW,3.1
158,2013,3.0,7.0,14.0,277.0,18.3,998.6,0.0,SSW,3.6
159,2013,3.0,7.0,15.0,282.0,18.6,997.6,0.0,SSW,3.3
160,2013,3.0,7.0,16.0,267.0,17.9,997.2,0.0,SW,1.9
161,2013,3.0,7.0,17.0,216.0,15.4,997.1,0.0,NNW,1.4
162,2013,3.0,7.0,18.0,201.0,14.4,997.4,0.0,N,1.9
163,2013,3.0,7.0,19.0,211.0,13.4,997.9,0.0,NNE,1.5
164,2013,3.0,7.0,20.0,227.0,11.8,997.7,0.0,NE,1.5
165,2013,3.0,7.0,21.0,282.0,9.2,997.9,0.0,NNE,1.4
166,2013,3.0,7.0,22.0,363.0,7.5,998.3,0.0,NE,1.3
167,2013,3.0,7.0,23.0,376.0,6.6,998.4,0.0,E,0.1
168,2013,3.0,8.0,0.0,344.0,4.1,998.2,0.0,ESE,0.0
169,2013,3.0,8.0,1.0,339.0,3.3,998.5,0.0,N,0.9
170,2013,3.0,8.0,2.0,339.0,2.5,998.2,0.0,SW,0.8
171,2013,3.0,8.0,3.0,324.0,1.8,997.9,0.0,N,0.0
172,2013,3.0,8.0,4.0,322.0,1.3,998.5,0.0,W,1.0
173,2013,3.0,8.0,5.0,315.0,1.4,999,0.0,SW,0.8
174,2013,3.0,8.0,6.0,310.0,1.1,999.7,0.0,WSW,0.8
176,2013,3.0,8.0,8.0,310.0,10.9,1000.8,0.0,SE,0.7
177,2013,3.0,8.0,9.0,326.0,16.9,1001.1,0.0,E,1.0
178,2013,3.0,8.0,10.0,326.0,19.1,1000.9,0.0,SSW,1.9
179,2013,3.0,8.0,11.0,219.0,20.5,1000.5,0.0,SSW,4.4
180,2013,3.0,8.0,12.0,104.0,21.7,999.4,0.0,S,3.0
181,2013,3.0,8.0,13.0,121.0,22.5,998.2,0.0,S,3.3
182,2013,3.0,8.0,14.0,184.0,17.4,998.3,0.0,ESE,4.5
183,2013,3.0,8.0,15.0,330.0,13.9,999.5,0.0,ESE,2.7
184,2013,3.0,8.0,16.0,172.0,11.9,1000.2,0.0,ESE,2.6
185,2013,3.0,8.0,17.0,114.0,10.3,999.9,0.0,SE,2.8
186,2013,3.0,8.0,18.0,82.0,9.3,1000.6,0.0,S,1.4
187,2013,3.0,8.0,19.0,84.0,8.0,1000.5,0.0,NE,0.8
188,2013,3.0,8.0,20.0,91.0,7.9,1000.4,0.0,SSW,1.4
189,2013,3.0,8.0,21.0,81.0,7.2,1000,0.0,ENE,1.6
190,2013,3.0,8.0,22.0,90.0,6.3,999,0.0,E,0.9
191,2013,3.0,8.0,23.0,79.0,5.7,997.7,0.0,SSW,1.0
192,2013,3.0,9.0,0.0,49.0,3.6,996.1,0.0,W,0.6
193,2013,3.0,9.0,1.0,89.0,2.1,994.9,0.0,W,1.1
194,2013,3.0,9.0,2.0,89.0,1.4,994.1,0.0,N,0.0
195,2013,3.0,9.0,3.0,98.0,1.1,993,0.0,NE,1.4
196,2013,3.0,9.0,4.0,97.0,1.8,992,0.0,E,0.0
